,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
4450,1498867200,2017-07-01 00:00:00,3600,53.345035,-6.267261,9.39,10000.0,6.3,7.21,7.53,9.41,1017,81,4.1,270,0,800,5,11,12,7
4451,1498870800,2017-07-01 01:00:00,3600,53.345035,-6.267261,8.39,10000.0,6.36,5.54,8.36,8.56,1017,87,5.1,270,0,800,5,11,12,7
4452,1498874400,2017-07-01 02:00:00,3600,53.345035,-6.267261,8.39,10000.0,6.36,5.54,8.36,8.56,1017,87,5.1,270,0,800,5,11,12,7
4453,1498878000,2017-07-01 03:00:00,3600,53.345035,-6.267261,7.39,10000.0,6.33,4.5,7.36,7.56,1017,93,4.6,260,0,800,5,11,12,7
4454,1498881600,2017-07-01 04:00:00,3600,53.345035,-6.267261,8.39,10000.0,6.36,5.54,7.53,8.41,1017,87,5.1,250,0,800,5,11,12,7
4455,1498885200,2017-07-01 05:00:00,3600,53.345035,-6.267261,8.39,9999.0,6.36,5.75,8.36,8.56,1017,87,4.6,250,40,802,1,3,5,7
4456,1498888800,2017-07-01 06:00:00,3600,53.345035,-6.267261,9.39,9999.0,7.34,7.21,9.36,10.56,1017,87,4.1,250,75,803,1,2,6,7
4457,1498892400,2017-07-01 07:00:00,3600,53.345035,-6.267261,11.39,9999.0,8.79,10.78,10.36,12.56,1017,84,6.7,250,40,802,1,3,5,7
4458,1498896000,2017-07-01 08:00:00,3600,53.345035,-6.267261,13.39,9999.0,9.45,12.8,13.36,13.56,1017,77,6.7,240,75,803,1,2,6,7
4459,1498899600,2017-07-01 09:00:00,3600,53.345035,-6.267261,14.39,9999.0,10.41,13.9,14.36,14.56,1017,77,5.7,230,75,803,1,2,6,7
4460,1498903200,2017-07-01 10:00:00,3600,53.345035,-6.267261,15.39,9999.0,11.38,15.0,15.36,15.56,1016,77,6.2,240,75,803,1,2,6,7
4461,1498906800,2017-07-01 11:00:00,3600,53.345035,-6.267261,15.39,9999.0,12.34,15.13,15.36,15.56,1016,82,6.7,230,75,803,1,2,6,7
4462,1498910400,2017-07-01 12:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,16.36,16.56,1016,77,6.7,230,75,500,0,1,10,7
