,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
1462,1488326400,2017-03-01 00:00:00,0,53.345035,-6.267261,4.39,9999.0,2.42,-0.34,4.36,4.56,995,87,7.2,270,40,802,1,3,2,3
1463,1488330000,2017-03-01 01:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,-0.34,4.36,4.56,996,86,7.2,260,75,803,1,2,1,3
1464,1488333600,2017-03-01 02:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-0.73,3.36,3.56,996,87,5.1,260,75,803,1,2,1,3
1465,1488337200,2017-03-01 03:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-1.44,3.36,3.56,996,87,6.7,250,75,803,1,2,1,3
1466,1488340800,2017-03-01 04:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,0.14,3.36,3.56,996,87,3.6,250,75,803,1,2,1,3
1467,1488344400,2017-03-01 05:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-0.18,3.36,3.56,996,86,4.1,240,75,803,1,2,1,3
1468,1488348000,2017-03-01 06:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-0.47,2.53,3.41,996,87,4.6,240,75,803,1,2,1,3
1469,1488351600,2017-03-01 07:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-0.47,2.53,3.41,996,87,4.6,240,75,803,1,2,1,3
1470,1488355200,2017-03-01 08:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-0.18,3.36,3.56,996,86,4.1,240,40,802,1,3,5,3
1471,1488358800,2017-03-01 09:00:00,0,53.345035,-6.267261,4.39,9999.0,1.42,0.25,3.53,4.41,996,81,5.7,240,20,801,1,4,4,3
1472,1488362400,2017-03-01 10:00:00,0,53.345035,-6.267261,6.39,9999.0,2.29,2.58,6.36,6.56,996,75,6.2,240,20,801,1,4,4,3
1473,1488366000,2017-03-01 11:00:00,0,53.345035,-6.267261,7.39,9999.0,2.28,3.86,7.36,7.56,996,70,6.2,240,40,802,1,3,5,3
1474,1488369600,2017-03-01 12:00:00,0,53.345035,-6.267261,8.39,9999.0,3.24,4.96,8.36,8.56,995,70,6.7,240,40,802,1,3,5,3
1475,1488373200,2017-03-01 13:00:00,0,53.345035,-6.267261,8.39,9999.0,1.31,4.81,8.36,8.56,995,61,7.2,250,75,803,1,2,6,3
1476,1488376800,2017-03-01 14:00:00,0,53.345035,-6.267261,8.39,9999.0,2.2,5.31,8.36,8.56,995,65,5.7,240,75,520,0,5,9,3
1477,1488380400,2017-03-01 15:00:00,0,53.345035,-6.267261,8.39,9999.0,1.31,4.81,8.36,8.56,994,61,7.2,230,75,803,1,2,6,3
1478,1488384000,2017-03-01 16:00:00,0,53.345035,-6.267261,8.39,9999.0,1.31,5.54,8.36,8.56,993,61,5.1,230,75,500,0,1,10,3
1479,1488387600,2017-03-01 17:00:00,0,53.345035,-6.267261,7.39,9999.0,2.28,4.74,6.53,7.41,993,70,4.1,210,75,500,0,1,10,3
1480,1488391200,2017-03-01 18:00:00,0,53.345035,-6.267261,4.39,6000.0,3.36,-0.16,4.36,5.56,993,93,6.7,220,75,500,0,1,10,3
1481,1488394800,2017-03-01 19:00:00,0,53.345035,-6.267261,5.18,10000.0,3.36,-0.43,4.53,5.36,993,88,11.0,250,40,500,0,1,0,3
1482,1488398400,2017-03-01 20:00:00,0,53.345035,-6.267261,5.39,8000.0,3.4,-0.22,4.53,5.41,994,87,11.3,260,75,500,0,1,0,3
1483,1488402000,2017-03-01 21:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,-1.02,4.36,4.56,994,86,9.3,250,75,803,1,2,1,3
1484,1488405600,2017-03-01 22:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,-1.43,4.36,4.56,994,86,10.8,240,75,803,1,2,1,3
1485,1488409200,2017-03-01 23:00:00,0,53.345035,-6.267261,4.39,9999.0,1.42,-2.44,4.36,4.56,995,81,15.4,250,90,804,1,8,1,3
1486,1488412800,2017-03-02 00:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-3.61,3.36,3.56,994,86,14.4,240,90,500,0,1,0,3
