,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
0,1483228800,2017-01-01 00:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,1.78,5.36,6.56,1019,93,5.1,330,75,501,0,0,0,1
1,1483232400,2017-01-01 01:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,2.28,5.36,5.56,1019,93,4.1,310,75,501,0,0,0,1
2,1483236000,2017-01-01 02:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,2.28,5.36,5.56,1019,93,4.1,320,75,500,0,1,0,1
3,1483239600,2017-01-01 03:00:00,0,53.345035,-6.267261,4.39,9999.0,3.36,0.04,4.36,5.56,1019,93,6.2,330,75,500,0,1,0,1
4,1483243200,2017-01-01 04:00:00,0,53.345035,-6.267261,4.39,9999.0,2.42,0.04,4.36,4.56,1019,87,6.2,330,75,803,1,2,1,1
5,1483246800,2017-01-01 05:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-1.23,3.36,3.56,1020,87,6.2,330,40,802,1,3,2,1
6,1483250400,2017-01-01 06:00:00,0,53.345035,-6.267261,2.39,9999.0,1.38,-2.28,2.36,3.56,1020,93,5.7,330,20,801,1,4,3,1
7,1483254000,2017-01-01 07:00:00,0,53.345035,-6.267261,2.39,9999.0,0.45,-2.72,2.36,2.56,1020,87,6.7,330,20,801,1,4,3,1
8,1483257600,2017-01-01 08:00:00,0,53.345035,-6.267261,2.39,9999.0,0.45,-2.51,2.36,2.56,1021,87,6.2,340,20,801,1,4,3,1
9,1483261200,2017-01-01 09:00:00,0,53.345035,-6.267261,3.39,9999.0,0.44,-1.01,2.53,3.41,1022,81,5.7,350,20,801,1,4,4,1
10,1483264800,2017-01-01 10:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-1.01,3.36,3.56,1023,86,5.7,350,20,801,1,4,4,1
11,1483268400,2017-01-01 11:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,-0.16,4.36,4.56,1023,80,6.7,350,40,802,1,3,5,1
12,1483272000,2017-01-01 12:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,-0.16,4.36,4.56,1024,80,6.7,350,40,802,1,3,5,1
13,1483275600,2017-01-01 13:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,0.78,5.36,5.56,1024,75,7.7,360,20,801,1,4,4,1
14,1483279200,2017-01-01 14:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,0.78,5.36,5.56,1024,75,7.7,360,40,802,1,3,5,1
15,1483282800,2017-01-01 15:00:00,0,53.345035,-6.267261,5.39,9999.0,0.37,0.78,5.36,5.56,1025,70,7.7,350,40,802,1,3,5,1
16,1483286400,2017-01-01 16:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.31,5.36,5.56,1025,75,6.2,350,75,803,1,2,6,1
