,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
752,1485907200,2017-02-01 00:00:00,0,53.345035,-6.267261,2.39,600.0,2.39,0.22,2.36,4.56,1005,100,2.1,120,40,741,6,12,13,2
753,1485910800,2017-02-01 01:00:00,0,53.345035,-6.267261,2.39,600.0,2.39,0.22,2.36,6.56,1005,100,2.1,150,40,741,6,12,13,2
754,1485914400,2017-02-01 02:00:00,0,53.345035,-6.267261,5.39,8000.0,5.39,4.39,5.36,5.56,1005,100,1.5,160,40,802,1,3,2,2
755,1485918000,2017-02-01 03:00:00,0,53.345035,-6.267261,3.39,9999.0,3.39,3.39,3.36,5.56,1005,100,0.5,0,75,803,1,2,1,2
756,1485921600,2017-02-01 04:00:00,0,53.345035,-6.267261,2.39,9999.0,1.38,2.39,2.36,5.56,1004,93,1.0,0,40,802,1,3,2,2
757,1485925200,2017-02-01 05:00:00,0,53.345035,-6.267261,3.39,9999.0,3.39,0.49,3.36,5.56,1003,100,3.1,120,20,801,1,4,3,2
758,1485928800,2017-02-01 06:00:00,0,53.345035,-6.267261,3.39,9999.0,3.39,-0.18,3.36,5.56,1002,100,4.1,150,20,801,1,4,3,2
759,1485932400,2017-02-01 07:00:00,0,53.345035,-6.267261,5.39,9999.0,5.39,2.02,5.36,6.56,1002,100,4.6,150,20,801,1,4,3,2
760,1485936000,2017-02-01 08:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,3.26,6.36,6.56,1001,93,4.6,120,75,803,1,2,1,2
761,1485939600,2017-02-01 09:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.5,7.36,7.56,1000,93,4.6,150,40,300,3,7,9,2
762,1485943200,2017-02-01 10:00:00,0,53.345035,-6.267261,8.39,9999.0,5.32,4.96,8.36,8.56,999,81,6.7,140,75,803,1,2,6,2
763,1485946800,2017-02-01 11:00:00,0,53.345035,-6.267261,9.39,9999.0,5.19,6.4,9.36,10.56,998,75,6.2,150,75,803,1,2,6,2
764,1485950400,2017-02-01 12:00:00,0,53.345035,-6.267261,10.39,9999.0,5.37,9.34,10.36,10.56,996,71,7.2,140,40,802,1,3,5,2
765,1485954000,2017-02-01 13:00:00,0,53.345035,-6.267261,9.39,9999.0,5.94,5.24,9.36,10.56,995,79,10.8,150,75,500,0,1,10,2
766,1485957600,2017-02-01 14:00:00,0,53.345035,-6.267261,8.39,5000.0,7.33,3.8,8.36,10.56,993,93,11.3,140,75,310,3,9,9,2
767,1485957600,2017-02-01 14:00:00,0,53.345035,-6.267261,8.39,5000.0,7.33,3.8,8.36,10.56,993,93,11.3,140,75,500,0,1,10,2
768,1485961200,2017-02-01 15:00:00,0,53.345035,-6.267261,9.39,8000.0,7.34,5.83,9.36,10.56,992,87,8.2,150,75,500,0,1,10,2
769,1485961200,2017-02-01 15:00:00,0,53.345035,-6.267261,9.39,8000.0,7.34,5.83,9.36,10.56,992,87,8.2,150,75,300,3,7,9,2
770,1485964800,2017-02-01 16:00:00,0,53.345035,-6.267261,9.39,9999.0,7.83,6.1,9.36,10.56,991,90,7.2,150,75,300,3,7,9,2
771,1485964800,2017-02-01 16:00:00,0,53.345035,-6.267261,9.39,9999.0,7.83,6.1,9.36,10.56,991,90,7.2,150,75,500,0,1,10,2
772,1485968400,2017-02-01 17:00:00,0,53.345035,-6.267261,9.39,9999.0,7.34,6.57,9.36,10.56,991,87,5.7,150,75,500,0,1,10,2
773,1485972000,2017-02-01 18:00:00,0,53.345035,-6.267261,10.39,9999.0,6.35,9.47,9.53,10.41,991,76,4.1,160,75,803,1,2,1,2
774,1485975600,2017-02-01 19:00:00,0,53.345035,-6.267261,9.39,9999.0,5.19,6.57,9.36,9.56,991,75,5.7,190,75,803,1,2,1,2
775,1485979200,2017-02-01 20:00:00,0,53.345035,-6.267261,9.39,9999.0,4.4,7.72,9.36,9.56,991,71,3.1,170,75,803,1,2,1,2
776,1485982800,2017-02-01 21:00:00,0,53.345035,-6.267261,9.39,9999.0,4.4,6.4,9.36,9.56,991,71,6.2,180,75,803,1,2,1,2
777,1485986400,2017-02-01 22:00:00,0,53.345035,-6.267261,9.39,9999.0,5.19,6.4,9.36,9.56,990,75,6.2,190,75,803,1,2,1,2
778,1485990000,2017-02-01 23:00:00,0,53.345035,-6.267261,9.39,9999.0,6.3,6.1,9.36,9.56,990,81,7.2,150,75,803,1,2,1,2
779,1485993600,2017-02-02 00:00:00,0,53.345035,-6.267261,9.39,9999.0,8.32,6.1,9.36,10.56,989,93,7.2,120,75,500,0,1,0,2
780,1485997200,2017-02-02 01:00:00,0,53.345035,-6.267261,10.39,9999.0,9.31,9.91,10.36,11.56,987,93,6.7,150,75,500,0,1,0,2
781,1486000800,2017-02-02 02:00:00,0,53.345035,-6.267261,10.88,9999.0,9.31,10.37,10.41,11.56,986,90,9.8,160,75,310,3,9,7,2
782,1486000800,2017-02-02 02:00:00,0,53.345035,-6.267261,10.88,9999.0,9.31,10.37,10.41,11.56,986,90,9.8,160,75,500,0,1,0,2
783,1486004400,2017-02-02 03:00:00,0,53.345035,-6.267261,10.39,9000.0,9.31,9.91,10.36,12.56,985,93,11.3,160,75,500,0,1,0,2
784,1486008000,2017-02-02 04:00:00,0,53.345035,-6.267261,10.39,9000.0,9.31,9.91,10.36,12.56,983,93,10.3,150,75,500,0,1,0,2
785,1486011600,2017-02-02 05:00:00,0,53.345035,-6.267261,10.39,6000.0,9.31,9.91,10.36,12.56,982,93,11.3,150,75,310,3,9,7,2
786,1486015200,2017-02-02 06:00:00,0,53.345035,-6.267261,10.39,7000.0,9.31,9.91,10.36,12.56,982,93,11.3,150,75,310,3,9,7,2
787,1486015200,2017-02-02 06:00:00,0,53.345035,-6.267261,10.39,7000.0,9.31,9.91,10.36,12.56,982,93,11.3,150,75,500,0,1,0,2
788,1486018800,2017-02-02 07:00:00,0,53.345035,-6.267261,10.39,7000.0,9.31,9.91,10.36,11.56,982,93,9.3,140,75,300,3,7,7,2
789,1486022400,2017-02-02 08:00:00,0,53.345035,-6.267261,10.39,9000.0,9.31,9.91,10.36,11.56,981,93,9.8,150,75,300,3,7,7,2
790,1486026000,2017-02-02 09:00:00,0,53.345035,-6.267261,10.39,7000.0,9.31,9.91,10.36,12.56,980,93,11.8,150,75,300,3,7,9,2
791,1486026000,2017-02-02 09:00:00,0,53.345035,-6.267261,10.39,7000.0,9.31,9.91,10.36,12.56,980,93,11.8,150,75,500,0,1,10,2
792,1486029600,2017-02-02 10:00:00,0,53.345035,-6.267261,10.39,6000.0,9.31,9.91,10.36,11.56,980,93,9.8,160,75,300,3,7,9,2
793,1486029600,2017-02-02 10:00:00,0,53.345035,-6.267261,10.39,6000.0,9.31,9.91,10.36,11.56,980,93,9.8,160,75,500,0,1,10,2
794,1486033200,2017-02-02 11:00:00,0,53.345035,-6.267261,11.39,9999.0,8.25,10.7,11.36,11.56,979,81,8.2,160,40,500,0,1,10,2
