,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
3707,1496275200,2017-06-01 00:00:00,3600,53.345035,-6.267261,14.39,9999.0,9.41,13.76,13.53,14.41,1017,72,4.6,120,75,803,1,2,1,6
3708,1496278800,2017-06-01 01:00:00,3600,53.345035,-6.267261,14.39,9999.0,9.41,13.76,13.53,14.41,1017,72,6.2,200,75,803,1,2,1,6
3709,1496282400,2017-06-01 02:00:00,3600,53.345035,-6.267261,14.39,9999.0,8.35,13.63,13.53,14.41,1016,67,6.7,200,75,803,1,2,1,6
3710,1496286000,2017-06-01 03:00:00,3600,53.345035,-6.267261,13.39,9999.0,8.45,12.66,13.36,13.56,1016,72,1.5,0,40,802,1,3,2,6
3711,1496289600,2017-06-01 04:00:00,3600,53.345035,-6.267261,14.39,9999.0,8.35,13.63,13.53,14.41,1016,67,6.7,190,75,803,1,2,1,6
3712,1496293200,2017-06-01 05:00:00,3600,53.345035,-6.267261,14.39,9999.0,9.21,13.74,14.36,14.56,1016,71,4.6,210,75,803,1,2,6,6
3713,1496296800,2017-06-01 06:00:00,3600,53.345035,-6.267261,15.39,9999.0,9.3,14.73,14.53,15.41,1016,67,4.1,180,75,803,1,2,6,6
3714,1496300400,2017-06-01 07:00:00,3600,53.345035,-6.267261,15.39,9999.0,10.37,14.86,15.36,15.56,1016,72,3.6,170,75,803,1,2,6,6
3715,1496304000,2017-06-01 08:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,15.53,16.41,1015,77,4.1,200,75,803,1,2,6,6
3716,1496307600,2017-06-01 09:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,15.53,16.41,1015,77,5.1,170,75,803,1,2,6,6
3717,1496311200,2017-06-01 10:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,15.53,16.41,1015,77,5.1,170,75,500,0,1,10,6
3718,1496314800,2017-06-01 11:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,16.36,17.56,1015,77,3.6,160,75,500,0,1,10,6
3719,1496318400,2017-06-01 12:00:00,3600,53.345035,-6.267261,16.39,9999.0,12.35,16.1,16.36,16.56,1015,77,7.2,210,75,500,0,1,10,6
3720,1496322000,2017-06-01 13:00:00,3600,53.345035,-6.267261,16.39,9999.0,13.31,16.23,16.36,16.56,1015,82,5.7,210,75,500,0,1,10,6
3721,1496325600,2017-06-01 14:00:00,3600,53.345035,-6.267261,16.39,9999.0,14.22,16.36,16.36,16.56,1015,87,5.1,210,75,500,0,1,10,6
3722,1496329200,2017-06-01 15:00:00,3600,53.345035,-6.267261,16.39,9999.0,14.4,16.38,15.53,16.41,1015,88,5.1,210,75,500,0,1,10,6
3723,1496332800,2017-06-01 16:00:00,3600,53.345035,-6.267261,14.39,9999.0,13.27,14.31,13.53,14.41,1015,93,6.2,260,75,500,0,1,10,6
3724,1496336400,2017-06-01 17:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,6.2,270,75,300,3,7,9,6
3725,1496336400,2017-06-01 17:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,6.2,270,75,500,0,1,10,6
3726,1496340000,2017-06-01 18:00:00,3600,53.345035,-6.267261,13.39,9999.0,11.45,13.08,12.53,13.41,1015,88,4.6,250,75,310,3,9,9,6
3727,1496340000,2017-06-01 18:00:00,3600,53.345035,-6.267261,13.39,9999.0,11.45,13.08,12.53,13.41,1015,88,4.6,250,75,500,0,1,10,6
3728,1496343600,2017-06-01 19:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,3.1,230,75,300,3,7,9,6
3729,1496343600,2017-06-01 19:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,3.1,230,75,500,0,1,10,6
3730,1496347200,2017-06-01 20:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,2.6,210,75,500,0,1,10,6
3731,1496350800,2017-06-01 21:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,2.1,210,75,803,1,2,1,6
3732,1496354400,2017-06-01 22:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,3.1,210,75,803,1,2,1,6
3733,1496358000,2017-06-01 23:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,12.36,12.56,1015,93,3.1,220,75,500,0,1,0,6
