,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
8250,1512086400,2017-12-01 00:00:00,0,53.345035,-6.267261,0.39,10000.0,-1.48,-3.52,-0.47,0.41,1024,86,3.6,310,0,800,5,11,12,12
8251,1512090000,2017-12-01 01:00:00,0,53.345035,-6.267261,0.39,10000.0,-1.48,-4.81,0.36,0.56,1024,86,5.7,320,0,800,5,11,12,12
8252,1512093600,2017-12-01 02:00:00,0,53.345035,-6.267261,-0.61,10000.0,-2.42,-6.07,-0.64,1.56,1025,86,5.7,320,0,800,5,11,12,12
8253,1512097200,2017-12-01 03:00:00,0,53.345035,-6.267261,0.39,10000.0,-1.48,-5.05,0.36,0.56,1025,86,6.2,330,0,800,5,11,12,12
8254,1512100800,2017-12-01 04:00:00,0,53.345035,-6.267261,-0.61,10000.0,-1.61,-6.07,-2.47,-0.59,1026,92,5.7,320,0,800,5,11,12,12
8255,1512104400,2017-12-01 05:00:00,0,53.345035,-6.267261,0.39,10000.0,-2.34,-3.52,-1.47,0.41,1027,80,3.6,320,0,800,5,11,12,12
8256,1512108000,2017-12-01 06:00:00,0,53.345035,-6.267261,0.39,10000.0,-2.34,-3.52,-0.47,0.41,1027,80,3.6,300,0,800,5,11,12,12
8257,1512111600,2017-12-01 07:00:00,0,53.345035,-6.267261,-0.61,10000.0,-1.61,-5.74,-2.47,-0.59,1027,92,5.1,300,0,800,5,11,12,12
8258,1512115200,2017-12-01 08:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-4.81,-3.47,0.41,1028,86,5.7,310,20,801,1,4,3,12
8259,1512118800,2017-12-01 09:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-4.19,-1.47,0.41,1029,86,4.6,310,20,801,1,4,4,12
8260,1512122400,2017-12-01 10:00:00,0,53.345035,-6.267261,2.39,9999.0,-0.62,-1.08,0.53,2.41,1029,80,3.6,300,20,801,1,4,4,12
8261,1512126000,2017-12-01 11:00:00,0,53.345035,-6.267261,3.39,9999.0,0.44,0.49,2.53,3.41,1030,81,3.1,280,20,801,1,4,4,12
8262,1512129600,2017-12-01 12:00:00,0,53.345035,-6.267261,4.39,9999.0,0.35,1.36,3.53,4.41,1030,75,3.6,300,20,801,1,4,4,12
8263,1512133200,2017-12-01 13:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.78,4.53,5.41,1030,75,5.1,290,40,802,1,3,5,12
8264,1512136800,2017-12-01 14:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,2.28,4.53,5.41,1030,75,4.1,300,40,802,1,3,5,12
8265,1512140400,2017-12-01 15:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,1.05,4.36,4.56,1030,86,4.1,290,75,803,1,2,6,12
8266,1512144000,2017-12-01 16:00:00,0,53.345035,-6.267261,3.88,9999.0,1.76,0.42,3.41,4.56,1030,86,4.1,290,75,803,1,2,6,12
8267,1512147600,2017-12-01 17:00:00,0,53.345035,-6.267261,4.39,9999.0,1.42,1.05,3.53,4.41,1030,81,4.1,300,75,803,1,2,1,12
8268,1512151200,2017-12-01 18:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,0.53,3.53,4.41,1030,86,5.1,290,75,803,1,2,1,12
8269,1512154800,2017-12-01 19:00:00,0,53.345035,-6.267261,4.39,9999.0,1.42,0.53,3.53,4.41,1030,81,5.1,290,75,803,1,2,1,12
8270,1512158400,2017-12-01 20:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-0.47,3.36,3.56,1030,86,4.6,280,75,803,1,2,1,12
8271,1512162000,2017-12-01 21:00:00,0,53.345035,-6.267261,3.39,9999.0,2.37,-0.73,3.36,3.56,1030,93,5.1,280,75,803,1,2,1,12
8272,1512165600,2017-12-01 22:00:00,0,53.345035,-6.267261,3.39,9999.0,2.37,-0.47,3.36,3.56,1030,93,4.6,270,75,803,1,2,1,12
8273,1512169200,2017-12-01 23:00:00,0,53.345035,-6.267261,3.39,9999.0,2.37,-1.23,3.36,4.56,1030,93,6.2,280,90,804,1,8,1,12
8274,1512172800,2017-12-02 00:00:00,0,53.345035,-6.267261,3.39,1500.0,3.39,-1.23,3.36,4.56,1030,100,6.2,270,90,300,3,7,7,12
8275,1512176400,2017-12-02 01:00:00,0,53.345035,-6.267261,3.39,700.0,3.39,-1.44,3.36,4.56,1030,100,6.7,260,90,741,6,12,13,12
8276,1512180000,2017-12-02 02:00:00,0,53.345035,-6.267261,4.39,900.0,4.39,0.04,4.36,4.56,1030,100,6.2,270,90,741,6,12,13,12
8277,1512183600,2017-12-02 03:00:00,0,53.345035,-6.267261,5.39,4000.0,5.39,1.51,4.53,5.41,1030,100,5.7,270,90,701,2,6,13,12
8278,1512187200,2017-12-02 04:00:00,0,53.345035,-6.267261,5.39,4000.0,4.8,1.31,4.53,5.41,1029,96,6.2,260,90,701,2,6,13,12
8279,1512190800,2017-12-02 05:00:00,0,53.345035,-6.267261,5.39,4000.0,5.39,1.51,4.53,5.41,1029,100,5.7,270,90,701,2,6,13,12
8280,1512194400,2017-12-02 06:00:00,0,53.345035,-6.267261,5.39,4000.0,5.39,1.51,4.53,5.41,1029,100,5.7,260,90,701,2,6,13,12
8281,1512198000,2017-12-02 07:00:00,0,53.345035,-6.267261,5.39,4000.0,5.39,1.31,4.53,5.41,1029,100,6.2,260,90,701,2,6,13,12
8282,1512201600,2017-12-02 08:00:00,0,53.345035,-6.267261,5.39,4000.0,5.39,1.51,5.36,5.56,1029,100,5.7,260,75,701,2,6,13,12
8283,1512205200,2017-12-02 09:00:00,0,53.345035,-6.267261,5.39,3000.0,5.39,1.78,5.36,5.56,1029,100,5.1,250,90,701,2,6,8,12
8284,1512205200,2017-12-02 09:00:00,0,53.345035,-6.267261,5.39,3000.0,5.39,1.78,5.36,5.56,1029,100,5.1,250,90,300,3,7,9,12
8285,1512208800,2017-12-02 10:00:00,0,53.345035,-6.267261,5.89,8000.0,5.89,1.95,5.36,6.41,1029,100,6.2,270,75,300,3,7,9,12
8286,1512212400,2017-12-02 11:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.78,6.36,6.56,1029,100,5.7,280,75,300,3,7,9,12
8287,1512216000,2017-12-02 12:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,6.53,7.41,1029,93,5.1,290,75,300,3,7,9,12
8288,1512219600,2017-12-02 13:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,6.53,7.41,1029,93,5.7,270,75,300,3,7,9,12
8289,1512223200,2017-12-02 14:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.58,6.36,6.56,1028,100,6.2,260,75,300,3,7,9,12
8290,1512226800,2017-12-02 15:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,7.36,7.56,1028,93,5.7,260,75,300,3,7,9,12
8291,1512230400,2017-12-02 16:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,7.36,7.56,1028,93,5.7,270,75,300,3,7,9,12
8292,1512234000,2017-12-02 17:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,6.53,7.41,1028,93,5.1,270,75,803,1,2,1,12
8293,1512237600,2017-12-02 18:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.78,6.36,6.56,1028,100,5.7,280,75,803,1,2,1,12
8294,1512241200,2017-12-02 19:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,3.26,6.36,6.56,1028,93,4.6,270,75,803,1,2,1,12
8295,1512244800,2017-12-02 20:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,3.26,6.36,7.56,1028,93,4.6,280,75,803,1,2,1,12
8296,1512248400,2017-12-02 21:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,2.4,5.53,6.41,1028,93,6.7,290,40,802,1,3,2,12
8297,1512252000,2017-12-02 22:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,3.03,5.53,6.41,1029,93,5.1,280,40,802,1,3,2,12
8298,1512255600,2017-12-02 23:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,2.58,6.36,6.56,1029,93,6.2,290,40,802,1,3,2,12
8299,1512259200,2017-12-03 00:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.78,6.36,7.56,1029,100,5.7,270,75,803,1,2,1,12
8300,1512262800,2017-12-03 01:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.78,6.36,7.56,1029,100,5.7,270,75,803,1,2,1,12
8301,1512266400,2017-12-03 02:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,3.86,7.36,7.56,1029,93,6.2,270,75,803,1,2,1,12
8302,1512270000,2017-12-03 03:00:00,0,53.345035,-6.267261,6.39,9999.0,5.34,3.03,6.36,6.56,1029,93,5.1,280,75,803,1,2,1,12
8303,1512273600,2017-12-03 04:00:00,0,53.345035,-6.267261,6.89,9999.0,6.3,3.41,6.36,7.56,1029,96,5.7,280,75,803,1,2,1,12
8304,1512277200,2017-12-03 05:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,3.86,7.36,7.56,1028,93,6.2,270,75,803,1,2,1,12
8305,1512280800,2017-12-03 06:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,7.36,7.56,1029,93,5.1,280,90,804,1,8,1,12
8306,1512284400,2017-12-03 07:00:00,0,53.345035,-6.267261,7.39,9999.0,7.39,3.86,7.36,7.56,1029,100,6.2,280,90,701,2,6,13,12
8307,1512288000,2017-12-03 08:00:00,0,53.345035,-6.267261,7.39,9999.0,7.39,3.86,7.36,7.56,1029,100,6.2,270,90,701,2,6,13,12
8308,1512291600,2017-12-03 09:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.54,7.53,8.41,1030,93,5.1,280,75,300,3,7,9,12
8309,1512291600,2017-12-03 09:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.54,7.53,8.41,1030,93,5.1,280,75,701,2,6,8,12
8310,1512295200,2017-12-03 10:00:00,0,53.345035,-6.267261,8.39,4000.0,7.33,5.54,7.53,8.41,1030,93,5.1,270,75,300,3,7,9,12
8311,1512298800,2017-12-03 11:00:00,0,53.345035,-6.267261,8.39,9000.0,8.39,5.31,8.36,8.56,1031,100,5.7,280,75,300,3,7,9,12
8312,1512302400,2017-12-03 12:00:00,0,53.345035,-6.267261,8.89,9999.0,8.29,6.16,8.36,9.41,1030,96,5.1,280,75,300,3,7,9,12
8313,1512306000,2017-12-03 13:00:00,0,53.345035,-6.267261,9.39,9000.0,8.32,6.4,8.53,9.41,1030,93,6.2,280,75,300,3,7,9,12
8314,1512309600,2017-12-03 14:00:00,0,53.345035,-6.267261,9.39,7000.0,8.32,6.79,9.36,9.56,1030,93,5.1,280,75,300,3,7,9,12
8315,1512313200,2017-12-03 15:00:00,0,53.345035,-6.267261,9.39,3500.0,8.32,6.57,9.36,9.56,1030,93,5.7,280,75,300,3,7,9,12
8316,1512316800,2017-12-03 16:00:00,0,53.345035,-6.267261,9.39,8000.0,8.32,6.4,9.36,9.56,1030,93,6.2,280,75,300,3,7,9,12
8317,1512320400,2017-12-03 17:00:00,0,53.345035,-6.267261,9.39,6000.0,8.32,6.57,9.36,9.56,1031,93,5.7,280,75,300,3,7,7,12
8318,1512324000,2017-12-03 18:00:00,0,53.345035,-6.267261,8.39,9999.0,8.39,5.54,8.36,9.56,1031,100,5.1,290,75,803,1,2,1,12
8319,1512327600,2017-12-03 19:00:00,0,53.345035,-6.267261,8.39,9999.0,8.39,5.75,8.36,8.56,1032,100,4.6,280,75,803,1,2,1,12
8320,1512331200,2017-12-03 20:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.75,8.36,8.56,1032,93,4.6,280,75,803,1,2,1,12
8321,1512334800,2017-12-03 21:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.54,8.36,8.56,1032,93,5.1,270,75,803,1,2,1,12
8322,1512338400,2017-12-03 22:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.31,8.36,8.56,1032,93,5.7,280,75,803,1,2,1,12
8323,1512342000,2017-12-03 23:00:00,0,53.345035,-6.267261,8.39,9999.0,7.33,5.75,8.36,8.56,1033,93,4.6,300,75,803,1,2,1,12
8324,1512345600,2017-12-04 00:00:00,0,53.345035,-6.267261,8.39,9999.0,6.36,5.54,7.53,8.41,1033,87,5.1,280,90,804,1,8,1,12
8325,1512349200,2017-12-04 01:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,7.36,7.56,1033,93,5.1,280,75,803,1,2,1,12
8326,1512352800,2017-12-04 02:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,7.36,7.56,1033,93,5.1,270,75,803,1,2,1,12
8327,1512356400,2017-12-04 03:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,7.36,7.56,1033,93,5.7,260,75,803,1,2,1,12
8328,1512360000,2017-12-04 04:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,6.53,7.41,1033,93,5.7,270,75,803,1,2,1,12
8329,1512363600,2017-12-04 05:00:00,0,53.345035,-6.267261,7.39,8000.0,6.33,4.5,6.53,7.41,1034,93,4.6,280,90,300,3,7,7,12
8330,1512367200,2017-12-04 06:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.5,6.53,7.41,1034,93,4.6,270,90,300,3,7,7,12
8331,1512370800,2017-12-04 07:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,3.03,6.36,6.56,1034,100,5.1,270,75,300,3,7,7,12
8332,1512374400,2017-12-04 08:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.28,6.53,7.41,1034,93,5.1,280,75,300,3,7,7,12
8333,1512378000,2017-12-04 09:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,3.03,6.36,6.56,1035,100,5.1,280,75,300,3,7,9,12
8334,1512381600,2017-12-04 10:00:00,0,53.345035,-6.267261,7.39,9000.0,6.33,4.5,6.53,7.41,1035,93,4.6,290,75,300,3,7,9,12
8335,1512385200,2017-12-04 11:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.74,7.36,7.56,1036,93,4.1,290,75,803,1,2,6,12
8336,1512388800,2017-12-04 12:00:00,0,53.345035,-6.267261,6.39,9999.0,6.39,2.4,6.36,7.56,1035,100,6.7,270,75,300,3,7,9,12
8337,1512392400,2017-12-04 13:00:00,0,53.345035,-6.267261,7.39,5000.0,6.33,4.04,7.36,7.56,1035,93,5.7,260,75,300,3,7,9,12
8338,1512396000,2017-12-04 14:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,4.04,7.36,7.56,1035,93,5.7,260,75,300,3,7,9,12
8339,1512399600,2017-12-04 15:00:00,0,53.345035,-6.267261,7.39,9999.0,6.33,3.86,7.36,7.56,1035,93,6.2,260,75,300,3,7,9,12
8340,1512403200,2017-12-04 16:00:00,0,53.345035,-6.267261,7.39,9999.0,5.37,3.68,7.36,7.56,1035,87,6.7,260,75,803,1,2,6,12
8341,1512406800,2017-12-04 17:00:00,0,53.345035,-6.267261,7.39,9999.0,5.37,3.86,6.53,7.41,1035,87,6.2,260,75,803,1,2,1,12
8342,1512410400,2017-12-04 18:00:00,0,53.345035,-6.267261,7.39,9999.0,5.37,4.5,7.36,7.56,1036,87,4.6,240,75,803,1,2,1,12
8343,1512414000,2017-12-04 19:00:00,0,53.345035,-6.267261,7.39,9999.0,5.37,4.5,7.36,7.56,1036,87,4.6,250,75,803,1,2,1,12
