,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
2954,1493596800,2017-05-01 00:00:00,3600,53.345035,-6.267261,8.39,9999.0,8.39,6.84,7.53,8.41,1000,100,2.6,100,75,701,2,6,13,5
2955,1493600400,2017-05-01 01:00:00,3600,53.345035,-6.267261,8.39,9999.0,7.33,7.23,7.53,8.41,1000,93,2.1,90,75,803,1,2,1,5
2956,1493604000,2017-05-01 02:00:00,3600,53.345035,-6.267261,8.39,9999.0,8.39,7.23,8.36,8.56,1000,100,2.1,20,75,803,1,2,1,5
2957,1493607600,2017-05-01 03:00:00,3600,53.345035,-6.267261,8.39,9999.0,8.39,6.84,7.53,8.41,1001,100,2.6,30,75,803,1,2,1,5
2958,1493611200,2017-05-01 04:00:00,3600,53.345035,-6.267261,8.39,9999.0,7.33,6.84,7.53,8.41,1001,93,2.6,350,75,803,1,2,1,5
2959,1493614800,2017-05-01 05:00:00,3600,53.345035,-6.267261,9.39,6000.0,8.32,7.72,8.53,9.41,1002,93,3.1,20,75,701,2,6,8,5
2960,1493618400,2017-05-01 06:00:00,3600,53.345035,-6.267261,9.39,7000.0,8.32,7.45,8.53,9.41,1003,93,3.6,10,75,701,2,6,8,5
2961,1493622000,2017-05-01 07:00:00,3600,53.345035,-6.267261,9.39,9999.0,8.32,7.45,9.36,9.56,1004,93,3.6,10,75,701,2,6,8,5
2962,1493625600,2017-05-01 08:00:00,3600,53.345035,-6.267261,10.39,9999.0,8.32,9.76,10.36,10.56,1005,87,3.6,360,75,701,2,6,8,5
2963,1493629200,2017-05-01 09:00:00,3600,53.345035,-6.267261,11.39,9999.0,8.25,10.7,11.36,11.56,1005,81,4.1,10,75,701,2,6,8,5
2964,1493632800,2017-05-01 10:00:00,3600,53.345035,-6.267261,12.39,9999.0,9.41,11.83,11.53,12.41,1006,82,5.7,10,75,701,2,6,8,5
2965,1493636400,2017-05-01 11:00:00,3600,53.345035,-6.267261,12.39,9999.0,9.23,11.8,12.36,12.56,1007,81,7.2,10,75,701,2,6,8,5
2966,1493640000,2017-05-01 12:00:00,3600,53.345035,-6.267261,12.39,9999.0,9.23,11.8,12.36,13.56,1008,81,6.2,10,75,701,2,6,8,5
2967,1493643600,2017-05-01 13:00:00,3600,53.345035,-6.267261,14.39,9999.0,8.35,13.63,14.36,14.56,1008,67,6.2,10,40,802,1,3,5,5
2968,1493647200,2017-05-01 14:00:00,3600,53.345035,-6.267261,14.39,9999.0,9.21,13.74,14.36,15.56,1008,71,4.1,360,20,801,1,4,4,5
2969,1493650800,2017-05-01 15:00:00,3600,53.345035,-6.267261,15.39,9999.0,8.16,14.6,15.36,15.56,1009,62,5.7,60,20,801,1,4,4,5
2970,1493654400,2017-05-01 16:00:00,3600,53.345035,-6.267261,14.39,9999.0,8.35,13.63,14.36,15.56,1010,67,5.7,60,20,801,1,4,4,5
2971,1493658000,2017-05-01 17:00:00,3600,53.345035,-6.267261,14.39,9999.0,7.21,13.5,14.36,14.56,1010,62,4.6,70,20,801,1,4,4,5
2972,1493661600,2017-05-01 18:00:00,3600,53.345035,-6.267261,13.39,9999.0,7.18,12.51,13.36,14.56,1011,66,4.1,80,20,801,1,4,4,5
2973,1493665200,2017-05-01 19:00:00,3600,53.345035,-6.267261,12.39,9999.0,6.22,11.41,12.36,13.56,1012,66,3.1,60,20,801,1,4,4,5
2974,1493668800,2017-05-01 20:00:00,3600,53.345035,-6.267261,11.39,9999.0,6.33,10.44,11.36,13.56,1012,71,1.5,0,20,801,1,4,3,5
2975,1493672400,2017-05-01 21:00:00,3600,53.345035,-6.267261,8.39,9999.0,5.32,7.23,8.36,10.56,1013,81,2.1,50,20,801,1,4,3,5
2976,1493676000,2017-05-01 22:00:00,3600,53.345035,-6.267261,7.39,10000.0,5.37,6.06,7.36,9.56,1014,87,2.1,50,0,800,5,11,12,5
2977,1493679600,2017-05-01 23:00:00,3600,53.345035,-6.267261,5.39,10000.0,4.35,3.28,5.36,8.56,1015,93,2.6,40,0,800,5,11,12,5
2978,1493683200,2017-05-02 00:00:00,3600,53.345035,-6.267261,4.39,10000.0,3.36,3.25,4.36,6.56,1015,93,1.5,10,0,800,5,11,12,5
2979,1493686800,2017-05-02 01:00:00,3600,53.345035,-6.267261,4.39,10000.0,4.39,3.25,4.36,5.56,1016,100,1.5,360,0,800,5,11,12,5
2980,1493690400,2017-05-02 02:00:00,3600,53.345035,-6.267261,5.39,10000.0,5.39,3.72,5.36,5.56,1016,100,2.1,20,0,800,5,11,12,5
2981,1493694000,2017-05-02 03:00:00,3600,53.345035,-6.267261,4.39,10000.0,4.39,1.7,4.36,6.56,1017,100,3.1,70,0,800,5,11,12,5
2982,1493697600,2017-05-02 04:00:00,3600,53.345035,-6.267261,7.39,10000.0,6.33,5.01,6.53,7.41,1017,93,3.6,50,0,800,5,11,12,5
